ID,Nome,Posizione,Quantità,Argomento,Keywords,ParoleChiave,URLImmagine
a0001,Metro a Nastro,Armadio 1,21,Meccanica,metro nastro strumento misura metr,Metro a Nastro Armadio 1 metro nastro strumento misura metr,https://www.dl.dropboxusercontent.com/scl/fi/qfhpt9k0sn1a9kxbvag72/metroNastro.jpeg?rlkey=ywm2vpv40hembek1m35t849jw&dl=0
a0002,Becher 250 mL,Armadio 5,11,Meccanica,becker ,Becher 250 mL Armadio 5 becker ,https://www.dl.dropboxusercontent.com/scl/fi/6zlkwu7eno50lja5bempt/becher250.jpeg?rlkey=rezrlnnd2rjh5z0lbkrjvav1a&dl=0
a0003,Basi,Armadio 1,20,Meccanica,bas basette base,Basi Armadio 1 bas basette base,https://www.dl.dropboxusercontent.com/scl/fi/cd2bwe3r6g58egskz7lby/basi.jpeg?rlkey=zi72qs9rojg8k4smmh8ov8woe&dl=0
a0004,Asta lunga,Armadio 1,25,Meccanica,aste sbarra ,Asta lunga Armadio 1 aste sbarra ,https://www.dl.dropboxusercontent.com/scl/fi/gx6nvorpws5j0d0kbaayl/astaLunga.jpeg?rlkey=jubm3uwrvdpnov6v4g4w92ff8&dl=0
a0005,Asta piccola,Armadio 1,11,Meccanica,asticella sbarretta,Asta piccola Armadio 1 asticella sbarretta,https://www.dl.dropboxusercontent.com/scl/fi/da786y0x66np08rj11y63/astaCorta.jpeg?rlkey=lovpc1al91qdvqvgeanmgb1e4&dl=0
a0006,Calibro,Armadio 5,10,Meccanica,calib misura,Calibro Armadio 5 calib misura,https://www.dl.dropboxusercontent.com/scl/fi/g0ald0gmmtcggbnqrpqcm/calibro.jpeg?rlkey=5w60bhrisi7p7ss6n1wq25raa&dl=0
a0007,Metro pieghevole,Armadio 5,1,Meccanica,metr falegname strumento misura,Metro pieghevole Armadio 5 metr falegname strumento misura,https://www.dl.dropboxusercontent.com/scl/fi/yt973jc60mrelotx9uvwr/metroPieghevole.jpeg?rlkey=59vh16phdpj05wk5aubsfhbnj&dl=0
a0008,Goniometro,Armadio 5,15,Meccanica,misura gradi angoli,Goniometro Armadio 5 misura gradi angoli,https://www.dl.dropboxusercontent.com/scl/fi/cluj5xo1301185oarpzmp/goniometro.jpeg?rlkey=y5brta0vy2vo369fxgnusy4vp&dl=0
a0009,Morsetto nero,Armadio 1,17,Meccanica,morsa asta sbarra,Morsetto nero Armadio 1 morsa asta sbarra,https://www.dl.dropboxusercontent.com/scl/fi/s195f942hroblrheguxpb/morsettoNero.png?rlkey=e6m76k6fa9wr6sjfhjh01yal7&dl=0
a0010,Massa 50 g,Armadio 1,56,Meccanica,massa peso pesi 50 g grammi,Massa 50 g Armadio 1 massa peso pesi 50 g grammi,https://www.dl.dropboxusercontent.com/scl/fi/gxu5cpzu4xwl1h2r646tz/masse50.jpeg?rlkey=0l9e9oztgd1h9wbwwt0gfm6ts&dl=0
a0011,Massa 100 g,Armadio 1,10,Meccanica,massa peso pesi g 100 grammi,Massa 100 g Armadio 1 massa peso pesi g 100 grammi,https://www.dl.dropboxusercontent.com/scl/fi/kijjmj7qhmex50nhlt6pf/massa100.jpeg?rlkey=cji402yl9o4rfwjxj22y2qkkz&dl=0
a0012,Morsetto con gancio,Armadio 1,8,Meccanica,morsa asta sbarra,Morsetto con gancio Armadio 1 morsa asta sbarra,https://www.dl.dropboxusercontent.com/scl/fi/kbc6fg1l4yd4vu4fj1yez/morsettoGancio.jpeg?rlkey=hjusehl7t2imvk165mjzn2w1q&dl=0
a0013,Piano inclinato,Armadio 5,10,Meccanica,caduta piano Galileo,Piano inclinato Armadio 5 caduta piano Galileo,https://www.dl.dropboxusercontent.com/scl/fi/9jk3jl5w7qbsd0b61011x/pianon-inclinato.jpeg?rlkey=ii3dznytass20cj6fzlbd7l4e&dl=0
a0014,Parallelepipedo di metallo,Armadio 1,9,Fluidostatica,massa peso Archimede,Parallelepipedo di metallo Armadio 1 massa peso Archimede,https://www.dl.dropboxusercontent.com/scl/fi/tngl0vaen6uu7g75lv65b/parallelepipedoMetallo.jpeg?rlkey=ldo7zutwb5txzgbmsfazp76dt&dl=0
a0015,Blocco per attrito,Armadio 1,10,Meccanica,piano forza statico dinamico,Blocco per attrito Armadio 1 piano forza statico dinamico,https://www.dl.dropboxusercontent.com/scl/fi/yos2p58818fieeaahronm/bloccoAttrito.jpeg?rlkey=vdc1dsyqm37ga9l3eqdyo9q0x&dl=0
a0016,Carrucola grande,Armadio 1,20,Meccanica,rossa rotazione,Carrucola grande Armadio 1 rossa rotazione,https://www.dl.dropboxusercontent.com/scl/fi/heq5344w0df87qkonf2wz/carrucolaGrande.jpeg?rlkey=vbmin8ejs0p02p0l3glqatyus&dl=0
